                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.359,                 3.8603,                0.93176,                0.00053,                0.00013,                  3e-05,                  1e-05,                    nan,                    nan,                    nan,             0.00066646,             0.00066646,             0.00066646
                      2,                 3.4011,                  2.834,                0.91947,                 0.0005,                 0.0001,                  5e-05,                  2e-05,                    nan,                    nan,                    nan,              0.0013067,              0.0013067,              0.0013067
                      3,                 3.3573,                 2.6577,                0.91577,                0.00016,                 0.0001,                  3e-05,                  1e-05,                    nan,                    nan,                    nan,              0.0019206,              0.0019206,              0.0019206
                      4,                 3.3154,                  2.592,                0.90798,                 0.0004,                0.00019,                  3e-05,                  1e-05,                    nan,                    nan,                    nan,              0.0018812,              0.0018812,              0.0018812
                      5,                 3.3026,                 2.5514,                0.90411,                0.00029,                0.00019,                  5e-05,                  2e-05,                    nan,                    nan,                    nan,              0.0018416,              0.0018416,              0.0018416
                      6,                 3.1959,                 2.4685,                0.89316,                0.00037,                0.00016,                  4e-05,                  2e-05,                    nan,                    nan,                    nan,               0.001802,               0.001802,               0.001802
                      7,                 3.1914,                 2.3987,                0.88671,                0.00078,                0.00025,                  6e-05,                  2e-05,                    nan,                    nan,                    nan,              0.0017624,              0.0017624,              0.0017624
                      8,                 3.1746,                 2.3832,                0.88475,                0.00059,                0.00029,                  4e-05,                  1e-05,                    nan,                    nan,                    nan,              0.0017228,              0.0017228,              0.0017228
                      9,                 3.1719,                 2.3776,                0.87706,                0.00063,                0.00022,                  3e-05,                  1e-05,                    nan,                    nan,                    nan,              0.0016832,              0.0016832,              0.0016832
                     10,                 3.1495,                   2.33,                0.87697,                0.00092,                0.00022,                  5e-05,                  2e-05,                    nan,                    nan,                    nan,              0.0016436,              0.0016436,              0.0016436
                     11,                 3.1303,                 2.3327,                0.87851,                0.00111,                0.00019,                  4e-05,                  2e-05,                    nan,                    nan,                    nan,               0.001604,               0.001604,               0.001604
